"feature_name","mean_0.5","mean_0.6","mean_0.7","mean_0.8","mean_0.9","mean_1.0","mean_1.1","mean_1.2","mean_1.3","mean_1.4","mean_1.5","mean_1.6","mean_1.7","mean_1.8","mean_1.9","mean_2.0","mean_2.1","mean_2.2","mean_2.3","mean_2.4","mean_2.5","mean_2.6","mean_2.7","mean_2.8","mean_2.9","mean_3.0"
"gamma_g",1.4611582,1.9700775,2.6083508,3.280867,3.954435,4.5898733,5.2183976,5.872949,6.3750186,6.801582,7.201195,7.3415594,7.697444,7.614511,7.884586,8.193258,8.08934,7.6840796,7.441913,7.4632177,7.477882,7.2061586,7.061028,6.736842,6.7168236,6.8772006
"t_peak",4.2721915,7.6971297,11.5644655,15.570986,19.654207,23.604364,27.073025,29.253422,31.197994,33.167694,35.13932,35.048805,35.76852,35.35001,34.90151,34.275627,33.549793,33.117386,31.456968,29.548418,28.193565,26.53147,26.913626,26.591084,26.101112,25.226982
"gamma_d",0.66223466,1.6146891,2.7194412,4.17081,5.294848,6.772067,7.973911,9.112303,9.96342,10.973321,11.780305,12.209779,12.770833,12.639627,12.457781,12.751483,12.637114,12.217937,12.718725,11.484052,10.686609,9.900969,10.108812,9.882295,9.63537,9.449108
"CO2_0",0.02369989,0.047851436,0.06859886,0.057793666,0.08170211,0.14900242,0.20420201,0.12406194,0.18408422,0.08809217,0.117431715,0.16551213,0.112488635,0.36147022,0.29148865,0.18375444,0.25167707,0.20521316,0.34547,0.419875,0.3535498,0.44743457,0.341332,0.46657926,0.54205227,0.44573507
"N2O_0",0.043709446,0.044131782,0.080103494,0.11826609,0.09734851,0.10533729,0.1362099,0.1479637,0.2230655,0.28604722,0.2754191,0.20997486,0.17302889,0.23976584,0.1393697,0.10161688,0.14518638,0.1320763,0.12743762,0.09892931,0.1009094,0.17858529,0.12922776,0.107647434,0.06370911,0.08378655
"thermal_s0",0.09580448,0.10525973,0.063513674,0.108469516,0.15853752,0.16990253,0.14975809,0.17618178,0.2027428,0.21705896,0.17515159,0.22143355,0.21140988,0.09907293,0.15181081,0.1694314,0.07194352,0.1318913,0.17014337,0.13963784,0.13500154,0.08153641,0.07336605,0.04577754,0.16253524,0.08524139
"greenland_v0",0.044863097,0.08328769,0.12543026,0.12273912,0.15777335,0.108868554,0.18034263,0.1889253,0.16301125,0.15915354,0.19941716,0.19136105,0.22100766,0.35855135,0.46751845,0.3229021,0.36822242,0.44878453,0.45368594,0.42551127,0.58283675,0.3967877,0.42817032,0.5287919,0.34740007,0.30258116
"glaciers_v0",0.0664464,0.07107475,0.09014192,0.15350784,0.3048763,0.27730185,0.46085832,0.5842635,0.6984279,0.44645098,0.41188145,0.09730543,0.10236432,0.20444836,0.22575039,0.25690386,0.23442407,0.19409533,0.19116852,0.23308603,0.31832635,0.39165112,0.38558376,0.40615997,0.29643783,0.36853883
"glaciers_s0",0.0734479,0.096397236,0.07828225,0.18176226,0.1620385,0.16637717,0.25808722,0.22866733,0.15534997,0.30377442,0.2761711,0.32524955,0.53641206,0.27108094,0.40949234,0.3163505,0.35739174,0.14446187,0.24257061,0.26032603,0.19617918,0.1663521,0.28247955,0.21114588,0.1900487,0.1620816
"antarctic_s0",0.041558307,0.06506185,0.07180382,0.09011847,0.07056044,0.08199044,0.07294915,0.13389961,0.26198962,0.2402689,0.18664001,0.20195477,0.2110377,0.20887388,0.22642697,0.17514563,0.2511123,0.15591982,0.22829883,0.19650164,0.13999453,0.13723752,0.0937723,0.12609045,0.08507382,0.11684936
"Q10",0.3920597,0.80286604,1.2288877,1.8040364,2.1347742,2.7518284,3.2178817,3.6846163,3.9196663,4.043005,4.0351114,4.1164546,3.6988988,3.5078816,3.5869234,3.2254992,2.83089,2.7733192,2.805054,2.170787,2.5761437,2.1673071,2.1977456,2.215217,2.0812488,2.4034703
"CO2_fertilization",0.24819422,0.54120266,0.78283167,1.2051195,1.1951779,1.3862758,1.8174905,1.7189442,1.780125,2.0019531,1.9078351,2.0214894,1.4514891,1.2294922,1.6915809,1.268251,1.6069231,1.5516101,1.7654387,1.3081144,1.7070035,1.2488662,1.0167764,1.1047058,0.82209784,1.0425491
"CO2_diffusivity",0.058466163,0.056879576,0.12382836,0.21533643,0.28552997,0.45168707,0.4734117,0.48697865,0.3707797,0.5690118,0.6544748,0.623178,0.84651345,1.0647235,0.79845893,0.84274495,0.5880982,0.57955194,0.43316388,0.43556583,0.4049957,0.4813313,0.5613763,0.57918584,0.6362792,0.45103526
"heat_diffusivity",0.107970595,0.09895152,0.08747202,0.12684447,0.1959944,0.38311166,0.4295568,0.65528977,0.91512424,1.0531003,1.0518986,1.4278827,1.4146829,1.3455607,1.2644476,0.848724,0.57329226,0.5935923,0.6227069,0.5320074,0.30425763,0.17915408,0.2614025,0.19872937,0.14711042,0.19615267
"rf_scale_aerosol",1.4236059,1.8468869,2.0034628,2.3381753,2.5712779,2.6416175,2.9824595,3.0851586,2.8280401,2.5957098,2.3302407,2.5573833,3.0627844,2.7043004,2.958113,3.9809554,3.7330878,3.266771,3.8738468,3.695192,4.1207237,4.5109806,4.4202375,3.3999128,3.850715,3.6362598
"climate_sensitivity",4.6027365,6.2185416,8.115119,10.0336,11.971135,14.03406,14.856233,16.353313,17.692919,18.447128,19.539825,19.247274,18.977488,18.764954,18.649094,16.5866,16.304394,16.481415,15.048052,14.591186,12.859021,11.902333,12.016721,12.379704,11.999002,11.981264
"thermal_alpha",1.592155,1.6969047,1.7757468,1.8964862,1.8363535,1.862554,1.9059908,1.938958,1.8144519,1.6831684,1.7605945,1.5060031,1.2043344,1.0581813,1.3830982,1.184498,1.0823878,1.2163012,1.1578217,1.3647547,1.5162113,1.5859581,1.3085307,1.4170984,1.3907174,1.475326
"greenland_a",1.5223844,1.7507375,2.400724,3.1442368,2.9453673,3.9796977,3.8028543,3.8411937,3.45695,4.3320003,3.9430325,2.3886049,2.3175454,2.7338,2.36912,2.4215748,2.1133056,2.5026224,2.78733,3.08871,2.899081,3.2410018,3.5148444,3.5582063,4.2024465,3.9072578
"greenland_b",0.24842387,0.5160082,0.7820783,0.9362721,1.1630636,0.9274053,1.1714226,1.132453,0.9684447,0.7269674,0.96814805,1.3417777,1.1402707,1.0762262,0.9882889,1.0705973,1.4869424,1.518699,1.4488887,1.2631338,1.526263,1.4176726,1.5991434,1.3127885,1.2100904,1.3815169
"greenland_alpha",1.6749185,2.1374922,2.8130565,3.5500433,3.593124,4.177295,4.311423,4.297553,3.9454894,3.566486,3.7514625,3.333593,2.9403148,2.9999776,2.480836,2.7302442,2.8771665,3.02865,3.3387399,3.4874964,3.403807,3.7061563,4.116104,3.9295843,4.4344816,4.109786
"greenland_beta",0.35576513,0.506877,0.452009,0.6210124,0.7635605,0.6512501,0.67619014,1.0046358,0.85860497,0.85206056,0.74752766,0.658654,0.8003762,0.6536096,0.61490333,0.77546877,0.99062127,0.91233224,0.96081716,0.93003124,0.9899168,0.9785791,1.2125393,1.4962044,1.2928226,1.1441511
"glaciers_beta0",0.09889799,0.13274957,0.12775843,0.19018857,0.18040146,0.22488186,0.31260112,0.25397435,0.19680484,0.23058282,0.18735935,0.55136806,0.31117675,0.34334373,0.3030126,0.23014873,0.17400618,0.17263204,0.2307211,0.2625008,0.09920066,0.1492158,0.12866369,0.12568109,0.18745606,0.077824526
"glaciers_n",0.0602563,0.086472355,0.17200318,0.27554908,0.19497481,0.34994286,0.47991744,0.38234994,0.43333536,0.39429352,0.4978129,0.3429125,0.30857727,0.1629131,0.18377961,0.25012767,0.21390875,0.30334672,0.19570547,0.08754023,0.08793986,0.049793106,0.08017562,0.09613059,0.122426316,0.18220225
"anto_alpha",0.2793045,0.40113068,0.4741198,0.58950204,0.69452286,0.65808606,0.83196515,0.9749494,0.8301023,0.83994704,0.72376823,0.69264895,0.7610831,0.63139087,0.6752288,0.6037342,0.5775924,0.868055,1.0555962,0.9261473,0.7012571,0.73976505,0.7348468,0.9283966,0.7653658,1.0038964
"anto_beta",0.713503,0.61763346,0.48118037,0.4818795,0.4742505,0.34799293,0.32959595,0.18813902,0.17852855,0.20882,0.1314381,0.17116612,0.21323162,0.17988819,0.16393337,0.14362893,0.18832749,0.14639497,0.2212386,0.090695456,0.15477344,0.10637197,0.093741715,0.10040865,0.13938166,0.090198904
"antarctic_gamma",0.022327753,0.036722686,0.07063058,0.059503492,0.07630988,0.06094093,0.09665597,0.11886311,0.13006797,0.20889072,0.28930968,0.20335917,0.19659819,0.27847376,0.23169458,0.14131708,0.21292481,0.17790715,0.30764776,0.13663878,0.25392723,0.17625183,0.08564414,0.12004401,0.11626382,0.034705218
"antarctic_alpha",0.4762917,0.49882618,0.6102241,0.74461466,0.7866587,0.584932,0.74433017,0.8140529,0.8487745,0.79917276,0.7461398,0.6213125,0.7006334,0.4393595,0.27629286,0.3960105,0.30089867,0.32143497,0.32104185,0.23208499,0.18643348,0.32049716,0.16626486,0.21254988,0.25074264,0.27502364
"antarctic_mu",0.11210967,0.10347888,0.13635567,0.16485244,0.13295975,0.31742668,0.3958626,0.6533734,0.95654285,0.95319337,1.3376563,1.7041316,2.1854687,2.4259102,2.4442387,2.8155189,3.2524261,2.930803,3.2459316,3.4998562,3.4184477,3.7564173,4.295458,4.875596,4.708398,4.822652
"antarctic_nu",0.02570213,0.06457732,0.054889306,0.09088377,0.10225387,0.09334465,0.15842158,0.10485014,0.12066554,0.15742004,0.19026208,0.2499478,0.22834113,0.29617676,0.12856391,0.28032735,0.22612932,0.1607094,0.31676286,0.24313045,0.3101181,0.4148123,0.43445864,0.46198794,0.38765377,0.44523144
"antarctic_precip0",6.923582,6.6216016,6.3191423,5.688672,5.220726,4.4621305,4.1370044,3.744621,2.9052477,2.3900828,1.9788598,1.5660458,1.8293395,1.1957444,1.3058093,1.4894477,1.4823205,1.5871444,1.2129283,1.5361346,1.8192383,2.2865813,2.2374403,2.1985292,2.5540617,2.6185062
"antarctic_kappa",3.3862617,2.890016,2.8278546,2.2454152,2.2590046,1.746795,1.4855155,1.0917752,0.4839577,0.24384305,0.19115943,0.28218448,0.18071705,0.18971352,0.22639029,0.17428085,0.16840205,0.13747309,0.18254064,0.28387377,0.23162046,0.1851228,0.14279447,0.09795612,0.15299425,0.20664033
"antarctic_flow0",3.8149905,3.4529538,3.3221493,3.1300411,2.7587323,2.2845044,2.0583403,1.9626223,1.1378171,0.8685809,0.5256308,0.24276339,0.36298925,0.21637571,0.2983478,0.23078032,0.31361207,0.29358885,0.18103723,0.2561159,0.29425484,0.34501928,0.30250448,0.2643582,0.30057272,0.25023058
"antarctic_runoff_height0",0.31389213,0.48427647,0.47416767,0.6103087,0.8853197,0.9981818,1.0384494,1.2649075,1.0263197,1.0441426,1.0179217,1.1201191,0.982449,1.0178955,0.7644507,0.72332364,0.9401781,0.81166565,0.7308754,1.0622318,1.1006093,1.1800767,1.2745018,1.2423869,1.3408946,1.418266
"antarctic_c",0.16495709,0.18128666,0.27362153,0.42392167,0.43179327,0.6240105,0.74070925,0.81698453,0.6512237,0.7045146,0.5439041,0.67953885,0.6343574,0.6373331,0.74256736,0.6846492,0.6147558,0.63000745,0.61013615,0.8087761,0.73097014,0.77705985,0.9468107,0.9417663,0.872816,0.99199474
"antarctic_bed_height0",1.4344834,1.1856594,1.0804839,0.88445604,0.919341,0.68353367,0.60585725,0.6189211,0.48949635,0.10999956,0.15667704,0.103836685,0.35687032,0.34210232,0.4107417,0.4521309,0.23855484,0.20754527,0.10937108,0.18179144,0.29012382,0.24808206,0.083765775,0.11195632,0.13082747,0.22045794
"antarctic_slope",5.5513725,5.226875,4.5974,4.234411,3.9926758,3.2511609,3.0711923,2.7804976,2.1770062,1.7757549,1.2637695,1.0898132,1.1986998,0.72421926,0.60976917,0.80623907,1.0747823,0.9539556,0.7756115,1.0909334,1.1270736,1.2077771,1.1171954,1.2859645,1.3542126,1.7558281
"antarctic_lambda",0.35228875,0.7838212,1.1372783,1.5673685,1.9227248,2.2964199,2.9584653,3.272307,4.0229983,4.6679697,5.1313853,5.8622313,6.428718,7.4265437,7.9020734,8.613235,9.7096615,10.654899,11.484576,12.091658,12.662667,14.30205,14.525185,14.78885,15.316218,16.284094
"antarctic_temp_threshold",2.508855,3.7427535,5.0414376,6.361868,7.6356187,8.768141,10.164731,11.841635,12.876645,14.35892,15.225008,16.62146,18.001848,18.55338,18.899082,19.287813,18.603518,17.558962,16.110874,14.967577,12.904536,10.80865,10.554259,9.43019,8.93646,7.786484
"lw_random_sample",0.7550924,0.79996485,0.90895176,1.0520978,1.1762171,1.407954,1.4455311,1.3047186,1.4381052,1.521396,1.1796278,0.96545976,0.67340237,0.5971749,0.53448135,0.45814458,0.6503683,0.5330635,0.51524085,0.34415576,0.4525362,0.564103,0.739924,0.79905754,0.7831503,0.8122209
